sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
179,CPF-QA-NQA-SCN-003,NQA20260729,GEN,POST_CODEX_FULL_REVIEW,P0,ACC·MBR·EXS Normalized Tree Parity,ACC·MBR·EXS와 임시 생성 Domain을 Metadata 정규화 후 비교한다.,동일 Capability 구조·SQL·Test·Local/Remote·Guide가 일치하고 수동 치환 없이 Build되어야 한다.,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
180,CPF-QA-NQA-SCN-004,NQA20260729,GEN,POST_CODEX_FULL_REVIEW,P0,Generator 우선 이관,Template 결함을 Generator에서 수정하고 임시 Domain 생성 후 ACC·MBR·EXS를 동기화한다.,Generator와 기존 Domain 사이 Drift와 이전 구조가 남지 않아야 한다.,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
181,CPF-QA-NQA-SCN-005,NQA20260729,ARC,POST_CODEX_FULL_REVIEW,P0,업무 기능 경계 검증,Requirement→Use Case→API→상태→Table→Event→Consumer→운영 기능으로 ACC 기능 경계를 도출한다.,기술 계층 대형 Package·God Service·DTO/Entity 혼용·기능 간 Repository 직접 참조가 없어야 한다.,cpf-core / 전체 Consumer,cpf-tools/scripts/check-semantic-consumer-graph.ps1 | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,경계 Gate 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",전체 저장소 적용 후 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
182,CPF-QA-NQA-SCN-006,NQA20260729,ARC,POST_CODEX_FULL_REVIEW,P0,Local·Remote Contract Parity,동일 업무 Contract를 Local Facade와 Remote Facade로 각각 실행한다.,HTTP loopback·Gateway 재경유·DTO/Error 불일치·Domain 하드코딩 없이 동일 결과와 Header/Trace/Validation을 제공해야 한다.,cpf-core / 전체 Consumer,cpf-tools/scripts/check-semantic-consumer-graph.ps1 | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,경계 Gate 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",전체 저장소 적용 후 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
183,CPF-QA-NQA-SCN-007,NQA20260729,ADM,POST_CODEX_FULL_REVIEW,P1,ADM/BZA Menu Route Page API Parity,Menu Group부터 Button/API/Permission/DB/Audit/E2E까지 전수 연결한다.,고아 Menu·Route·Page·Button·API가 없고 기능 목적에 맞는 UI여야 한다.,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
184,CPF-QA-NQA-SCN-008,NQA20260729,RTC,POST_CODEX_FULL_REVIEW,P0,ADM Runtime Tree 임의 깊이,Environment→Cluster→Domain→Group→Role→Service→Instance 트리를 대규모 데이터로 조회한다.,검색 경로 확장·Breadcrumb·상태 집계·Desired/Actual/Version/Drift·Lazy/Virtual·접근성이 동작해야 한다.,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
185,CPF-QA-NQA-SCN-009,NQA20260729,BZA,POST_CODEX_FULL_REVIEW,P1,BZA 조직 Tree 동시성,임의 깊이 조직 이동·삭제를 expectedVersion/CAS와 동시 요청으로 수행한다.,순환·없는 Parent·하위 조직 삭제를 차단하고 직원/조직장/승인경로 영향 Preview와 감사 이력을 제공해야 한다.,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
186,CPF-QA-NQA-SCN-010,NQA20260729,SEC,POST_CODEX_FULL_REVIEW,P0,BZA 메뉴 권한 Effective Simulation,Allow/Deny/상속/Deny 우선순위와 사용자 Simulation·Role 비교를 수행한다.,"Frontend Route와 Backend Endpoint, Screen/Button/API/Data Scope의 Effective Permission이 일치해야 한다.",cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-common/src/main/java/com/cpf/common/cache/CpfRedisProperties.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java,검토 완료,TLS/Secret/Action Guard 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",운영 Profile·권한·감사 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
187,CPF-QA-NQA-SCN-011,NQA20260729,SEC,POST_CODEX_FULL_REVIEW,P0,Button 권한 직접 호출 Negative,숨겨진 버튼의 URL/API를 다른 환경·Domain·조직 Scope와 HTTP Method로 직접 호출한다.,Backend가 403으로 차단하고 권한 변경 후 Session/Cache가 반영되며 위험 작업은 사유·승인·감사를 남겨야 한다.,cpf-core / cpf-common / cpf-admin / cpf-biz-admin,cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java | cpf-common/src/main/java/com/cpf/common/cache/CpfRedisProperties.java | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/filter/BzaApiAuthFilter.java,검토 완료,TLS/Secret/Action Guard 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",운영 Profile·권한·감사 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
188,CPF-QA-NQA-SCN-012,NQA20260729,ADM,POST_CODEX_FULL_REVIEW,P1,대량 Download 비동기 Lifecycle,검색조건/선택/전체 결과를 대량 Server-side Job으로 생성하고 취소·만료·재다운로드한다.,Streaming·진행률·Hash·Masking·Data Scope·Formula Injection 방지·감사·멱등성이 검증되어야 한다.,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
189,CPF-QA-NQA-SCN-013,NQA20260729,ADM,POST_CODEX_FULL_REVIEW,P1,Upload Dry-run·부분 실패·복구,Template Version 파일을 Preview/Dry-run 후 원자/부분 정책으로 실행하고 오류 파일·Retry·Rollback을 수행한다.,MIME/크기/Schema/중복/CAS/operationId/재시작 복구/민감정보 차단과 행별 오류가 검증되어야 한다.,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
190,CPF-QA-NQA-SCN-014,NQA20260729,RTC,POST_CODEX_FULL_REVIEW,P0,원격 작업 부분 실패·결과 불명,다중 Instance에 원격 제어를 전달하고 Offline·Timeout·ACK 유실·Drift·Rollback 실패를 주입한다.,전체/대상별 Attempt가 보존되고 UNKNOWN_RESULT Reconcile·Retry·Rollback과 Trace/Audit/로그 연결이 재시작 후에도 조회되어야 한다.,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
191,CPF-QA-NQA-SCN-015,NQA20260729,HYG,POST_CODEX_FULL_REVIEW,P0,Legacy 안전 삭제,후보를 Git/Reflection/Spring/ServiceLoader/Route/SQL/Menu/Generator Consumer 순으로 확인 후 이관·삭제한다.,대체 구현과 Consumer/Test 이관 후 Legacy 참조가 차단되고 전체 Build/Runtime 회귀가 성공해야 한다.,CPF 전체,cpf-tools/scripts/check-enterprise-source-closure.ps1 | .github/workflows/cpf-final-source-gates.yml,검토 완료,Hygiene Gate 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",최신 전체 Worktree에서 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
192,CPF-QA-NQA-SCN-016,NQA20260729,FND,POST_CODEX_FULL_REVIEW,P1,Architecture·Hygiene Gate CI 강제,Module/Package/Internal/Public API/Generator/UI/SQL/Hygiene/Secret/Stale Evidence Gate를 CI에서 실행한다.,한 Gate라도 실패·Skip되면 Completion Summary와 Release가 실패해야 한다.,CPF 전체,.github/workflows/cpf-final-source-gates.yml | cpf-tools/scripts/check-enterprise-source-closure.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,Gate/Workflow 변경 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",exact-SHA CI 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
193,CPF-QA-NQA-SCN-017,NQA20260729,GOV,POST_CODEX_FULL_REVIEW,P1,필수 QA Matrix 재생성,"Module·Package, Generated Domain, Menu·UI, Garbage Matrix를 최신 SHA에서 생성한다.",각 행에 Owner/Consumer/DB/UI/Test/Drift/Status/Required Action과 Evidence가 있어야 한다.,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-docs/quality/qa-20260729 | cpf-tools/verification/20260729_04,검토 완료,원장·인수인계·검수 역할 분리,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",최종 162개 Traceability는 다음 세션 계속,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
194,CPF-QA-NQA-SCN-018,NQA20260729,GOV,POST_CODEX_FULL_REVIEW,P1,최종 전체 원장 Closure,"기존 2,118건과 신규 QA 고유 항목을 최신 SHA Evidence로 재판정한다.",부분 구현·미구현·미검증·실패·재확인 필요가 하나라도 남으면 전체 완료를 차단한다.,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-docs/quality/qa-20260729 | cpf-tools/verification/20260729_04,검토 완료,원장·인수인계·검수 역할 분리,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",최종 162개 Traceability는 다음 세션 계속,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
195,CPF-QA-EXEC-065,BASE,ART,,,Java25 full build,"clean checkout, Java25, Gradle9.1",clean test assemble qualityGate 성공,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
196,CPF-QA-EXEC-066,BASE,ART,,,No build cache,--no-build-cache build,숨은 cache 의존 없이 성공,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
197,CPF-QA-EXEC-067,BASE,ART,,,BootJar inspection,모든 runtime bootJar,필수 CPF public jar·version/hash 일치,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
198,CPF-QA-EXEC-068,BASE,ART,,,BootWar external WAS,ADM/BZA/Gateway/Domain WAR 배포,startup/health/auth/API 정상,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
199,CPF-QA-EXEC-069,BASE,ART,,,Modular monolith,선택 module 동일 JVM 기동,bean/config/transaction 충돌 0,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
200,CPF-QA-EXEC-070,BASE,ART,,,Independent WAS,각 module 분리 기동,remote contract parity,CPF 전체 / Runtime Modules,.github/workflows/cpf-final-source-gates.yml | cpf-local-runtime | cpf-local-batch-runtime | cpf-admin | cpf-biz-admin,검토 완료,Packaging 검수 준비 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Java25/Gradle9.1 bootJar/bootWar/독립 WAS 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
